,评论内容
0,乱吧   等乱到生活都无法保证了  冷眼旁观的市民就能知道他们的面目。香港的教育该反思，香港的市民该反思，香港目前的政治格局需要修改，不然随着中美对抗的加剧，香港还会成为桥头堡
1,闹吧闹吧，闹够了就没有一国两制了，身在福中不知福，一群白眼狼。
2,香港这个地方，往日的特殊，往日的风光已经结束了，现在是象征意义大于实际意义，现在是人是鬼，已经分不清了，那就随你们打，随你们闹。本身资源就少，运输又被弄停了，撑不了多久，也就消停了，而且从历史来看，相信政府能够在废墟上重建一个崭新的中国香港。
3,得，继续吧，就是被惯出来恩。我们对他们那么好反过来看不起大陆人。赶紧暴乱废了吧，
4,暴徒请你清醒一点！反暴力，救香港！救助无辜受害市民！
5,这些暴徒的父母在干嘛？
6,回复@Zx-Johnny:孙子没人教育 我们这些做爷爷的总会着急上火的[挖鼻]
7,能不能打！！ 香港虽然是一国两制， 但如果这么欺负我们的同胞。 我 觉得，我们必须要出手。
8,一边颤抖一边流泪，究竟该怎么做
9,@Diodi0 @他妈伤透脑筋
10,该收场了
11,心疼警察[泪]
12,回复@Nathan_QLW:昆明火车站那次吗？我在网吧，吓我一跳[悲伤]
13,不敢看[泪]
14,@Jackfruit-skx
15,政见不同都被打，这些暴徒已经没人性了！！！
16,辣鸡废青，香港永远属于中国🇨🇳！是中国香港🇨🇳 你可以言论和合法游街，但不能攻击别人，不能毁掉公共设施。打人是因为知道自己言论站不住脚吧？垃圾港独，读这么多书一点思维逻辑能力没有？不想当中国人那你滚国外去啊，滚去美国的怀里，看美国要不要你们这群暴徒🙄#香港是中国的香港#
17,触目惊心
18,转存一下 方便我随时拿给我的同学看 让他们不要相信bbc和cnn还有le point的一派胡言
19,转发微博
20,人要是不爱自己的国家和猪狗有什么区别？哦不，小动物都比他们可爱[微笑]这是蛆虫
21,说句私心话中国从来不缺你香港这撮人，就算你们从世界上消失中国依旧发展，世界依旧继续，为什么中央却没有放弃你们，是因为离不开你们？你们养活了中国养活了世界？看看你们这些扶不起的阿斗，没了正确的教育你们自己日子过成了这个样子，对自己同胞下这样的狠手你们可真优秀可真是爱国可真为祖坟增光
22,@小饼干iii-
23,若有战 召必回
24,回复@Murphy1988:美国不是中国 你认为它们会播吗
25,那拍的人为什么不帮忙……就看着人被打？然后又放上网激励别人……
26,@听说妮妮很可爱
27,[悲伤]这还是人吗
28,请求开除他们的中国国籍[作揖]他们不配在中国生活下去好吗，这等过分的行为 真的无法让人原谅！！！！
29,回复@MEMBER·SEAR:是的
30,回复@一只绿帽秋:不，是一大半香港人
31,我的妈呀，香港这不是暴徒了，
32,这是他们的耻辱吧，也玷污了中国，这是要被载入历史的，就像以前的抗日战争一样[微笑]
33,哎呀，等闹到闹不动的时候，自然就老实了[喵喵]
34,想拿起武器干暴徒
35,@小太阳很忙啊G
36,回复@饮尘丶:你这评论是有点毛病吧，我有说不尊重武警吗？哪来的逻辑，我特么最讨厌键盘侠，不懂意思就不要乱特么评论
37,虽说一国两制，但是该出手时就出手，关于主权问题绝对的严厉以待！
38,香港这么多年的淡水、物资等都是我们大路给的，现在他们想独自成立一个国家，怎么可能？
39,为什么不把他们都杀了，然后直接回收香港
40,有时真系想尼滴人有毛屋企人？唔通呢滴都系畜生
41,回复@peng鹏鹏wade:大面积干涉 武警死伤又是你来负责？放下键盘，尊重拿起枪的人
42,回复@ZcwNly:但他们就是想占我们中国的地盘，还狗犬。
43,不忍，不敢看下去。我们现在所处的和平环境，是因为有人在负重前行，保护着我们。真不明白那些暴乱的“人”怎么能够做出这种残忍的。
44,以暴制暴
45,看哭了
46,喊口号就能停止暴力简直异想天开，香港警察以暴制暴请实施吧
47,@baidane
48,@找龙的吉少女 可怕
49,看了这么久，一句话政府不作为
50,无可救药
51,这些问题是早就埋下炸弹的，我今天看了一些tvb的电视剧，里面多少有点看不上大陆的意思，反正香港人优越感很强
52,真的心疼死警察和被打的市民了操[微笑]给他抓了让他们赔钱啥的 妈的死不足惜
53,这种情况了，香港警方不知道干什么吃的，连枪都不敢用吗？怕美国谴责？
54,@玖二七七
55,破坏国家安定 该被惩治了
56,没有人性的东西，狗屁都不是
57,救救香港吧[悲伤][悲伤][悲伤]，我都哭了，和平不好吗，香港警察就应该把他们抓起来[悲伤][悲伤]
58,回复@醒来就该去见她:还真不懂有啥关系呢
59,看这个样子，淘汰掉香港一部分人真的没什么问题了
60,@鬼怪的哲新娘
61,@在世间漂泊的小叶子
62,转发微博
63,最难得是香港警察。。。
64,感受到暴力离我们如此近，香港是中国的，为什么爱国的一代都是老一辈，香港的教育是否需要反思，才会培养出这么多愤青
65,心疼无辜平民跟警方[失望]为什么就是看不穿美国圈套 新疆是美国 西藏是美国 钓鱼岛是美国 香港也是美国 美国没想要谁 只想拥有资源跟霍霍中国 中国却从来没有抛弃过你们
66,政府是该做点什么了
67,打老人真的…[怒][怒][怒][吐][泪]
68,@珍妮的齐吊小热裤 …
69,心痛
70,谁给他们提供的物资[微笑]这些暴徒的物资从哪儿来的？吸血的XXX是不是应该被国家约谈一下了[微笑]
71,😱😱[失望][失望][泪][泪]
72,回复@葵与离:这些人都是脑袋不清楚
73,@小灰仙儿
74,回复@Murphy1988:@辛迪系阿华 看了哭
75,@buumma
76,@刘爽爽爽爽爽泡_我要与众不同
77,回复@牡丹丶正宫娘娘:没用，而且可能最后也真的能让他们得逞
78,回复@爱发育的亚托克斯:他们对于暴徒的行为表示同情[拜拜]
79,我觉得这时候应该让警方与香港黑帮联手牵制
80,为什么不能开枪。
81,不配为人
82,转发微博
83,真该做一个英文版的传播到国外
84,对于没有人性的暴徒，我支持以暴制暴
85,妈耶，这还是法治社会么？
86,9分钟视频看完了，证据确凿，可以进处理了
87,@我的印象笔记
88,如果香港事情必须需要一些生命为代价换回和平，我希望是这些行凶者，血洗整座城
89,平叛！平叛！平叛！
90,我气死了啊啊啊啊啊啊啊啊啊啊啊啊
91,能带刀自卫么？
92,太残暴了[泪]
93,国家还没有作为？纵容暴徒？
94,反对一切暴力在香港，中国任何一个地方使用。愿香港早日恢复安宁稳定。
95,回复@捧柿子的小浣熊:没到时候
96,这些人没有心吗？
97,严惩暴徒[拳头]
98,这还是一场金融战争
99,国家不该放弃对香港少部分爱国同胞的救助。
100,反暴力，救香港
101,看腻了，从开始的愤怒到如今的麻木，随他们去吧！看多了心累，为这些不相干，甚至对我们莫名仇恨的人不值得。。。
102,@区块链聪宝
103,触目惊心 废青真不是东西
104,⚡️😈⚡️曱甴不亡⚡️👹⚡️天理何在⚡️😈⚡️
105,资本主义
106,回复@Nathan_QLW:那你的意思是什么意思，没看懂
107,作为中国人良心不会痛吗？在中国的地盘上这样，真令人痛心，还是中华民族儿女吗[泪]
108,太吓人了吧
109,@AYcon_
110,盼望安宁之日早些到来！
111,香港这些废青，感觉要枪毙几个才行，杀鸡儆猴！
112,@肖合鸟dove 这个是一直到最近的时间线
113,支持以暴制暴
114,。
115,知道了 和我们有什么关系
116,留qq 进实盘
117,回复@添福女孩tt-:河北省石家庄小李请求出战
118,那些人应该杀光[嘻嘻][嘻嘻]活着浪费其他人的资源。
119,五月份去过一次，现在再去的话～[傻眼]
120,@赤耳朵Q
121,回复@PWJ部署:如果真到那个份上，会不会可不由他们！而是在于我们！选择的主动权全在我们这里！[doge]
122,放到全世界各个高楼循环播放[并不简单]
123,都这样了，还再不采取强硬措施，香港真的就完了，我们要的是香港这座属于我们中国的城，那些不喜欢中国香港的香港人，可以滚吗？
124,只有一个中国🇨🇳
125,哭着看完的，感觉被打市民好无助，好难受[泪][泪][泪][泪][泪]
126,"@崔始源  kan  kan  zhe  ge  shi   pin,ta  men  dou   shi  huai   ren,qing  bu   yao  zhi  chi  ta  men."
127,香港已成为恶魔之都，美英殖民的走狗，香港你对不起一心偏爱你阿中，认贼作父，
128,突然发现人民日报中国FANS NO.19970701 [赞][赞][赞]香港回归，之前是地回归，现在人心回归的时刻！
129,什么时候能停止？
130,正义不会缺席，报应迟早要来，穷凶极恶的香港暴徒[拜拜][弱]💊
131,举着美国国旗是什么鬼？法治社会，呵呵
132,让世界所有人都能看到
133,美心餐厅被Gaza纵火焚烧
134,一群魔鬼
135,回复@江沐昔senven:分析到位
136,@崔始源 look this ，look what they do
137,犯罪真的不用成本吗？？？？？？
138,唉，亲者痛仇者快，可怜了警察和无辜市民
139,历史不会忘记！你们亲手摧毁了自己的家园，殴打了同是黄皮肤的中国人！历史将永远记载在册！
140,香港需要白起
141,地狱空荡荡，魔鬼在人间，真的要以暴制暴了[怒]
142,到这个地步，香港政府还不能完全武力镇压，这还能怎么办？
143,"看过很多不同的视频, 這个太像广告。"
144,气到说不出话
145,这些都是合法的，在香港打人合法，打死人合法，抢警察的枪是合法的，被抢枪的警察开枪肯定是违法的，这就是民主、这就是自由，不认祖宗是光荣，杀人放火是英雄。暴徒当选议员，你能咋的？香港80%的是反中反党，咋的？你咬它们去？
146,@一只丹三-
147,回复@一祭-千年:为什么不能开枪？根本就不是中国人好吗？呸，不配！
148,如果被围殴，拿枪扫射他们属于正当防卫吗？
149,建议早日实弹射击，维护香港治安，保护香港人民
150,回复@DoctorStar:嗷嗷，到时候香港已经千疮百孔，中国出面才合适，否则无论是香港还是美国等外国人就会有说闲话，抓我们所谓的把柄的理由，瞎特么干涉！
151,@我是小尾尾呀
152,回复@哪位先生的鹿-:[二哈][二哈][二哈]
153,@枭枭的白菜
154,应该是一群香港无业游民吧  没工开，收钱暴乱
155,@凡萝卜不爱吃萝卜
156,军队扫射
157,不想做中国人麻烦滚蛋好吗？🈚️人会挽留，你们这群垃圾不如的废青。麻烦你们滚哦！
158,去管管吧！！！！
159,对待这样的暴徒，拿把AK突突就行了，都不带有冤案的
160,转发微博
